                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.62988,                0.49482,                0.99969,                0.91916,                0.77135,                  0.845,                0.72327,                0.63281,                0.55118,                0.98341,             7.6529e-05,             7.6529e-05,             7.6529e-05
                     73,                0.62205,                0.48854,                0.99843,                0.91523,                0.77815,                0.84334,                0.72225,                0.63684,                0.56082,                0.98102,             7.5945e-05,             7.5945e-05,             7.5945e-05
                     74,                0.62473,                0.48965,                 1.0009,                0.92059,                0.76857,                 0.8449,                0.72065,                0.62621,                0.55292,                0.97348,             7.5361e-05,             7.5361e-05,             7.5361e-05
                     75,                0.62166,                0.47548,                0.99066,                0.90957,                0.76748,                0.84385,                0.72443,                  0.623,                0.55342,                0.97488,             7.4777e-05,             7.4777e-05,             7.4777e-05
                     76,                0.61064,                0.47372,                0.99301,                0.92932,                0.76681,                0.84881,                0.72949,                0.62309,                0.54845,                 0.9834,             7.4193e-05,             7.4193e-05,             7.4193e-05
                     77,                0.61872,                0.47553,                0.99279,                0.92103,                0.77778,                0.85051,                0.73138,                0.62517,                0.53075,                0.97789,             7.3608e-05,             7.3608e-05,             7.3608e-05
                     78,                0.60597,                0.46428,                0.98891,                 0.9077,                0.78458,                 0.8525,                0.73326,                0.61572,                0.52848,                0.97366,             7.3024e-05,             7.3024e-05,             7.3024e-05
                     79,                0.60349,                 0.4588,                0.98229,                 0.9076,                0.79171,                0.84904,                0.72983,                0.61463,                0.53009,                0.97522,              7.244e-05,              7.244e-05,              7.244e-05
                     80,                 0.6022,                0.46128,                 0.9865,                0.91397,                0.78102,                0.84849,                0.73001,                0.60465,                  0.537,                0.97055,             7.1856e-05,             7.1856e-05,             7.1856e-05
                     81,                0.60021,                0.46175,                0.98582,                0.92254,                0.77089,                0.84658,                0.73093,                0.60879,                0.54537,                0.96968,             7.1272e-05,             7.1272e-05,             7.1272e-05
                     82,                0.59902,                0.46103,                0.98161,                 0.8976,                0.78804,                0.84728,                0.73031,                0.60717,                0.54409,                0.96969,             7.0688e-05,             7.0688e-05,             7.0688e-05
                     83,                0.59443,                0.46116,                0.98325,                0.91979,                0.78091,                0.84939,                0.73498,                  0.611,                0.54577,                0.97139,             7.0104e-05,             7.0104e-05,             7.0104e-05
                     84,                 0.5861,                0.45169,                0.97942,                0.90692,                0.79019,                0.84905,                0.73666,                0.59927,                0.53509,                0.96942,              6.952e-05,              6.952e-05,              6.952e-05
                     85,                0.59541,                0.44872,                0.98173,                0.91407,                0.79279,                0.85024,                 0.7365,                0.60053,                0.52905,                0.96597,             6.8936e-05,             6.8936e-05,             6.8936e-05
